payment_id,claim_id,payment_amount,payment_year,payment_month
20001,10001,4777.43,2018,7
20002,10002,1197.52,2022,2
20003,10002,1353.41,2022,5
20004,10002,2903.37,2022,8
20005,10002,881.28,2023,2
20006,10003,4640.37,2023,7
20007,10004,6517.61,2025,2
20008,10005,50.37,2023,12
20009,10005,51.56,2024,1
20010,10005,603.36,2024,2
20011,10005,49.68,2024,3
20012,10005,55.1,2024,4
20013,10005,48.44,2024,5
20014,10005,903.83,2024,6
20015,10005,49.87,2024,7
20016,10005,48.97,2024,8
20017,10005,62.26,2024,9
20018,10005,1905.92,2024,10
20019,10005,62.24,2024,11
20020,10005,52.97,2024,12
20021,10005,62.06,2025,1
20022,10005,1374.85,2025,2
20023,10005,848.26,2025,8
20024,10005,657.99,2025,11
20025,10006,891.94,2024,3
20026,10006,1242.1,2024,4
20027,10006,2082.15,2024,9
20028,10006,322.06,2024,10
20029,10007,859.04,2018,6
20030,10007,1576.27,2018,8
20031,10007,1612.3,2019,1
20032,10007,837.66,2019,6
20033,10008,1354.34,2022,7
20034,10008,4016.21,2023,1
20035,10008,1652.92,2023,5
20036,10008,2217.37,2023,9
20037,10009,553.12,2019,12
20038,10009,720.62,2020,1
20039,10009,1025.36,2020,5
20040,10010,4799.57,2018,12
20041,10010,531.49,2019,1
20042,10010,484.76,2019,2
20043,10010,502.39,2019,3
20044,10010,477.96,2019,4
20045,10010,472.26,2019,5
20046,10010,470.01,2019,6
20047,10010,7257.25,2019,7
20048,10010,529.22,2019,8
20049,10010,525.93,2019,9
20050,10010,7369.25,2019,10
20051,10010,519.7,2019,11
20052,10010,412.61,2019,12
20053,10010,445.98,2020,1
20054,10010,448.69,2020,2
20055,10010,422.77,2020,3
20056,10010,6545.13,2020,4
20057,10010,4175.65,2020,8
20058,10010,3616.35,2020,12
20059,10011,1943.71,2025,7
20060,10012,338.35,2018,6
20061,10012,334.04,2018,7
20062,10012,1134.07,2018,8
20063,10012,1254.62,2018,9
20064,10012,723.11,2018,10
20065,10012,1918.99,2018,11
20066,10012,1702.79,2019,3
20067,10012,1294,2019,9
20068,10012,261.01,2019,11
20069,10013,713.97,2022,9
20070,10013,736.71,2022,10
20071,10013,1395.78,2023,3
20072,10013,204.66,2023,5
20073,10014,87.58,2023,6
20074,10014,1472.55,2023,7
20075,10014,106.38,2023,8
20076,10014,104.56,2023,9
20077,10014,92.78,2023,10
20078,10014,2013.04,2023,11
20079,10014,112.31,2023,12
20080,10014,110.32,2024,1
20081,10014,3292.43,2024,2
20082,10014,112.4,2024,3
20083,10014,98.05,2024,4
20084,10014,110.79,2024,5
20085,10014,2804.11,2024,6
20086,10014,105.17,2024,7
20087,10014,103.53,2024,8
20088,10014,2050.26,2024,9
20089,10015,4333.54,2018,5
20090,10016,4165.95,2020,9
20091,10017,528.97,2023,12
20092,10017,1124.23,2024,2
20093,10017,1122.93,2024,5
20094,10017,459.16,2024,9
20095,10018,513.04,2022,3
20096,10018,872.42,2022,5
20097,10018,1206.89,2022,7
20098,10018,91.67,2022,8
20099,10019,263.88,2022,5
20100,10019,362.22,2022,8
20101,10019,558.03,2022,12
20102,10019,278.97,2023,7
20103,10020,8405.94,2019,7
20104,10021,236.51,2025,3
20105,10021,227.56,2025,5
20106,10021,386.15,2025,8
20107,10021,159,2025,9
20108,10022,1804.76,2025,5
20109,10023,7475.88,2018,10
20110,10023,749.86,2019,4
20111,10024,444.68,2021,4
20112,10024,89.17,2021,5
20113,10024,88.05,2021,6
20114,10024,79.63,2021,7
20115,10024,96.05,2021,8
20116,10024,91.58,2021,9
20117,10024,648.69,2021,10
20118,10024,519.34,2021,11
20119,10024,87.87,2021,12
20120,10024,1333.3,2022,1
20121,10024,78.27,2022,2
20122,10024,83.19,2022,3
20123,10024,95.43,2022,4
20124,10024,1224.98,2022,5
20125,10024,75.79,2022,6
20126,10024,599.38,2022,10
20127,10024,510.18,2023,2
20128,10025,1033.53,2025,12
20129,10026,305.18,2025,1
20130,10026,413.53,2025,4
20131,10026,705.81,2025,7
20132,10026,111.69,2025,8
20133,10027,14886.54,2023,4
20134,10028,1336.61,2025,4
20135,10028,2055.65,2025,9
20136,10028,6937.63,2025,11
20137,10028,2393.53,2025,12
20138,10029,1994.56,2020,5
20139,10029,4073.74,2020,8
20140,10029,2089.51,2020,9
20141,10029,2903.23,2021,4
20142,10030,19.82,2024,4
20143,10030,24.89,2024,5
20144,10030,267,2024,6
20145,10030,19.94,2024,7
20146,10030,21.09,2024,8
20147,10030,203.7,2024,9
20148,10030,19.46,2024,10
20149,10030,25.61,2024,11
20150,10030,22.36,2024,12
20151,10030,151.76,2025,1
20152,10030,22.13,2025,2
20153,10030,753.67,2025,3
20154,10030,21.72,2025,4
20155,10030,21.92,2025,5
20156,10030,774.53,2025,9
20157,10031,4336.05,2021,12
20158,10032,1639.81,2023,1
20159,10032,2494.05,2023,3
20160,10032,3873.12,2023,5
20161,10033,5894.31,2024,12
20162,10034,5727.47,2019,7
20163,10035,6448.75,2025,12
20164,10036,9124.8,2022,10
20165,10037,231.89,2024,4
20166,10037,232.57,2024,5
20167,10037,1877.83,2024,6
20168,10037,1677.35,2024,7
20169,10037,239.07,2024,8
20170,10037,253.01,2024,9
20171,10037,300.72,2024,10
20172,10037,307.74,2024,11
20173,10037,3234.93,2025,2
20174,10037,2743.47,2025,7
20175,10037,2320.96,2025,10
20176,10038,1034.1,2023,12
20177,10038,2240.72,2024,1
20178,10038,1009.57,2024,2
20179,10038,1247.75,2024,3
20180,10038,784.41,2024,6
20181,10038,3724.1,2024,10
20182,10038,2644.03,2025,2
20183,10038,1765.61,2025,9
20184,10039,2955.76,2023,9
20185,10040,3930.94,2021,9
20186,10041,2151.62,2022,5
20187,10041,494.4,2022,6
20188,10041,554.42,2022,7
20189,10041,555.78,2022,8
20190,10041,458.08,2022,9
20191,10041,537.22,2022,10
20192,10041,3338.35,2022,11
20193,10041,1639.74,2022,12
20194,10041,2525.74,2023,4
20195,10041,2073.87,2023,11
20196,10041,386.66,2024,3
20197,10042,2285.81,2019,5
20198,10043,1936.05,2022,10
20199,10043,3070.39,2023,1
20200,10043,3707.17,2023,3
20201,10043,3285.06,2023,9
20202,10044,214.3,2024,9
20203,10044,196.94,2024,10
20204,10044,1409.79,2024,11
20205,10044,214.47,2024,12
20206,10044,188.51,2025,1
20207,10044,2320.4,2025,2
20208,10044,2133.61,2025,3
20209,10044,233.58,2025,4
20210,10044,2169.75,2025,9
20211,10045,2562.1,2023,1
20212,10045,3870.79,2023,3
20213,10045,4703.27,2023,5
20214,10045,987.25,2023,12
20215,10046,208.05,2020,6
20216,10046,16.43,2020,7
20217,10046,15.74,2020,8
20218,10046,241.39,2020,9
20219,10046,15.04,2020,10
20220,10046,15.17,2020,11
20221,10046,13.84,2020,12
20222,10046,17.81,2021,1
20223,10046,683.22,2021,2
20224,10046,14.35,2021,3
20225,10046,15.83,2021,4
20226,10046,18.13,2021,5
20227,10046,14.5,2021,6
20228,10046,657.85,2021,7
20229,10046,14.11,2021,8
20230,10046,17.49,2021,9
20231,10046,17.66,2021,10
20232,10046,14.95,2021,11
20233,10046,322.29,2022,2
20234,10046,364.26,2022,7
20235,10047,189.08,2023,11
20236,10047,15.36,2023,12
20237,10047,13,2024,1
20238,10047,13.18,2024,2
20239,10047,14.39,2024,3
20240,10047,13.13,2024,4
20241,10047,14.07,2024,5
20242,10047,14.65,2024,6
20243,10047,192.24,2024,7
20244,10047,14.34,2024,8
20245,10047,445.12,2024,9
20246,10047,115.89,2024,10
20247,10047,15.57,2024,11
20248,10047,14.32,2024,12
20249,10047,14.79,2025,1
20250,10047,360.88,2025,2
20251,10047,201.47,2025,9
20252,10047,155.53,2025,12
20253,10048,7836.54,2019,11
20254,10048,983.83,2020,4
20255,10049,156.4,2023,3
20256,10049,2237.82,2023,4
20257,10049,167.57,2023,5
20258,10049,171.69,2023,6
20259,10049,2164.28,2023,7
20260,10049,167.22,2023,8
20261,10049,153.93,2023,9
20262,10049,179.98,2023,10
20263,10049,5800.08,2023,11
20264,10049,158.48,2023,12
20265,10049,168.41,2024,1
20266,10049,184.97,2024,2
20267,10049,191.15,2024,3
20268,10049,170.5,2024,4
20269,10049,5546.88,2024,5
20270,10049,173.11,2024,6
20271,10049,151.65,2024,7
20272,10049,2926.99,2024,8
20273,10049,1747.78,2025,1
20274,10050,7168.03,2021,9
20275,10051,1487.14,2023,9
20276,10051,5138.67,2024,3
20277,10051,2677.95,2024,7
20278,10051,1133.42,2024,12
20279,10052,8980.59,2020,7
20280,10052,1017.52,2021,1
20281,10053,510.59,2021,6
20282,10053,290.55,2021,7
20283,10054,2406.63,2021,10
20284,10054,3713.79,2022,1
20285,10054,4568.08,2022,3
20286,10054,2070.39,2022,9
20287,10055,217.85,2023,8
20288,10055,1800.53,2023,9
20289,10055,193.97,2023,10
20290,10055,245.05,2023,11
20291,10055,1628.57,2023,12
20292,10055,2765.89,2024,1
20293,10055,200.48,2024,2
20294,10055,1012.72,2024,3
20295,10055,2534.16,2024,6
20296,10055,1540.01,2024,11
20297,10055,533.46,2025,2
20298,10056,382.19,2019,9
20299,10056,568.94,2019,12
20300,10056,719.75,2020,5
20301,10056,74.28,2020,11
20302,10057,1846.7,2021,5
20303,10057,192.12,2021,6
20304,10057,202.53,2021,7
20305,10057,2849.45,2021,8
20306,10057,194.41,2021,9
20307,10057,214.87,2021,10
20308,10057,235.95,2021,11
20309,10057,239.5,2021,12
20310,10057,204.85,2022,1
20311,10057,227.55,2022,2
20312,10057,3559.61,2022,3
20313,10057,241.3,2022,4
20314,10057,2872.6,2022,6
20315,10057,1663.17,2022,11
20316,10057,1695.78,2023,1
20317,10058,927.03,2020,10
20318,10058,3733.99,2021,1
20319,10058,1419.69,2021,3
20320,10058,1543.59,2021,8
20321,10059,3177.75,2023,12
20322,10060,3448.27,2019,1
20323,10061,1182.91,2023,6
20324,10061,615.35,2023,7
20325,10062,9139.55,2024,1
20326,10063,1527.59,2019,5
20327,10063,2307.69,2019,8
20328,10063,2735.68,2020,1
20329,10063,1801.92,2020,5
20330,10064,6081.14,2022,3
20331,10065,1745.25,2023,2
20332,10065,621.5,2023,3
20333,10065,526.7,2023,4
20334,10065,2512.7,2023,5
20335,10065,3196.2,2023,10
20336,10065,2842.41,2024,2
20337,10065,2422.57,2024,6
20338,10065,899.16,2024,7
20339,10066,96.17,2023,3
20340,10066,599.86,2023,4
20341,10066,79.34,2023,5
20342,10066,79.05,2023,6
20343,10066,90.89,2023,7
20344,10066,477.26,2023,8
20345,10066,79.21,2023,9
20346,10066,379.33,2023,10
20347,10066,77.76,2023,11
20348,10066,84.27,2023,12
20349,10066,1282.61,2024,2
20350,10066,1273.95,2024,7
20351,10066,672.89,2024,10
20352,10066,192.96,2024,12
20353,10067,3103.14,2021,11
20354,10067,8911.13,2022,4
20355,10067,4320.89,2022,6
20356,10067,3513.48,2022,8
20357,10068,2375.7,2025,9
20358,10069,1257.81,2021,4
20359,10069,1523.73,2021,5
20360,10069,2515.82,2021,10
20361,10069,312.6,2022,2
20362,10070,1986.17,2022,9
20363,10070,912.45,2022,10
20364,10071,24470.91,2022,11
20365,10072,1041.01,2022,8
20366,10072,621.09,2022,11
20367,10073,6212.98,2023,12
20368,10073,23020.05,2024,1
20369,10073,5367.38,2024,2
20370,10073,6408.58,2024,3
20371,10073,6710.14,2024,4
20372,10073,22839.89,2024,7
20373,10073,59920.56,2024,10
20374,10073,38811.7,2025,1
20375,10073,29831.12,2025,6
20376,10073,13194.13,2025,10
20377,10074,1262.5,2019,11
20378,10074,2353.86,2020,2
20379,10074,3342.85,2020,4
20380,10074,937.32,2020,11
20381,10075,325.82,2021,12
20382,10075,384.17,2022,1
20383,10075,3754.69,2022,2
20384,10075,362.46,2022,3
20385,10075,352.06,2022,4
20386,10075,4785.89,2022,5
20387,10075,2934.72,2022,6
20388,10075,355.63,2022,7
20389,10075,9427.22,2022,8
20390,10075,408.6,2022,9
20391,10075,333.18,2022,10
20392,10075,411.69,2022,11
20393,10075,419.35,2022,12
20394,10075,8134.22,2023,1
20395,10075,359.23,2023,2
20396,10075,418.38,2023,3
20397,10075,6217.63,2023,4
20398,10075,1485.55,2023,9
20399,10076,3391.01,2019,11
20400,10077,684.32,2021,3
20401,10077,89.92,2021,4
20402,10077,72.62,2021,5
20403,10077,1064.55,2021,6
20404,10077,77.32,2021,7
20405,10077,81.74,2021,8
20406,10077,89.65,2021,9
20407,10077,79.14,2021,10
20408,10077,93.93,2021,11
20409,10077,71.88,2021,12
20410,10077,1783.28,2022,2
20411,10077,1603.77,2022,6
20412,10077,830.03,2022,12
20413,10077,384.81,2023,2
20414,10078,1676.76,2019,9
20415,10078,4436.44,2019,12
20416,10078,2706.32,2020,6
20417,10078,3481.24,2021,2
20418,10079,4527.35,2023,8
20419,10080,2129.1,2021,12
20420,10080,529.52,2022,1
20421,10080,589.23,2022,2
20422,10080,539.67,2022,3
20423,10080,2134.66,2022,4
20424,10080,1608.96,2022,5
20425,10080,3896.68,2022,7
20426,10080,3158.2,2023,1
20427,10080,1918.51,2023,4
20428,10080,1315.18,2023,9
20429,10081,1773.72,2024,5
20430,10081,5224.84,2024,10
20431,10081,2489.57,2024,12
20432,10081,1061.91,2025,3
20433,10082,884.65,2023,1
